(1,2)	(2,921)	(921,97)	(97,83)	(83,84)	(84,1165)	(1165,1749)	(1749,1478)	(1478,620)	(620,1954)	(1954,780)	(780,656)	(656,72)	(72,448)	(448,1261)	(1261,456)	(456,2110)	(2110,1690)	(1690,1291)	(1291,2738)	(2738,1291)	(1291,1862)	(1862,1734)	(1734,2402)	(2402,2473)	(2473,2258)	(2258,2182)	(2182,578)	(578,2473)
(1,887)	(887,227)	(227,340)	(340,330)	(330,877)	(877,2384)	(2384,2360)	(2360,1482)	(1482,328)	(328,2864)	(2864,2770)	(2770,657)	(657,2177)	(2177,516)	(516,496)	(496,1084)	(1084,533)	(533,1844)	(1844,43)	(43,1132)	(1132,574)	(574,2528)	(2528,2060)	(2060,2094)	(2094,1023)	(1023,299)	(299,454)	(454,478)	(478,392)
(1,152)	(152,1309)	(1309,735)	(735,354)	(354,471)	(471,2765)	(2765,1712)	(1712,72)	(72,248)	(248,1030)	(1030,1398)	(1398,318)	(318,147)	(147,71)	(71,1068)	(1068,885)	(885,1972)	(1972,1897)	(1897,1482)	(1482,1645)	(1645,2389)	(2389,74)	(74,67)	(67,170)	(170,1674)	(1674,1567)	(1567,592)	(592,656)	(656,964)
(1,3)	(3,1156)	(1156,516)	(516,2155)	(2155,1808)	(1808,2723)	(2723,768)	(768,1689)	(1689,1062)	(1062,516)	(516,309)	(309,1139)	(1139,8)	(8,1285)	(1285,923)	(923,486)	(486,1432)	(1432,2739)	(2739,2205)	(2205,1088)	(1088,1043)	(1043,2635)	(2635,1529)	(1529,529)	(529,556)	(556,1794)	(1794,2712)	(2712,1672)	(1672,1110)
(1,757)	(757,292)	(292,835)	(835,1045)	(1045,1023)	(1023,739)	(739,347)	(347,1446)	(1446,416)	(416,2410)	(2410,2809)	(2809,967)	(967,412)	(412,1627)	(1627,118)	(118,2335)	(2335,1309)	(1309,1205)	(1205,908)	(908,850)	(850,1309)	(1309,1320)	(1320,722)	(722,693)	(693,127)	(127,1)	(1,24)	(24,797)	(797,427)
(1,491)	(491,25)	(25,333)	(333,150)	(150,206)	(206,2016)	(2016,1891)	(1891,2235)	(2235,2941)	(2941,377)	(377,2882)	(2882,118)	(118,720)	(720,2154)	(2154,908)	(908,79)	(79,347)	(347,334)	(334,212)	(212,1604)	(1604,1780)	(1780,1988)	(1988,1594)	(1594,43)	(43,694)	(694,456)	(456,367)	(367,747)	(747,2784)
(1,95)	(95,107)	(107,1478)	(1478,735)	(735,354)	(354,128)	(128,381)	(381,327)	(327,1220)	(1220,1033)	(1033,2039)	(2039,1515)	(1515,1981)	(1981,970)	(970,1166)	(1166,128)	(128,126)	(126,389)	(389,2639)	(2639,1531)	(1531,2553)	(2553,541)	(541,333)	(333,1965)	(1965,55)	(55,2590)	(2590,850)	(850,2921)	(2921,2739)
(1,583)	(583,2440)	(2440,1155)	(1155,53)	(53,313)	(313,633)	(633,108)	(108,792)	(792,123)	(123,273)	(273,2882)	(2882,2583)	(2583,915)	(915,1423)	(1423,1386)	(1386,516)	(516,72)	(72,2962)	(2962,702)	(702,1035)	(1035,1640)	(1640,705)	(705,1664)	(1664,289)	(289,477)	(477,2712)	(2712,392)	(392,2276)	(2276,1654)
(1,2)	(2,1528)	(1528,971)	(971,1383)	(1383,10)	(10,1478)	(1478,693)	(693,687)	(687,2406)	(2406,751)	(751,1897)	(1897,150)	(150,315)	(315,186)	(186,55)	(55,1567)	(1567,2886)	(2886,769)	(769,2389)	(2389,1645)	(1645,901)	(901,633)	(633,2328)	(2328,2543)	(2543,1026)	(1026,1604)	(1604,2635)	(2635,1431)	(1431,578)
(1,265)	(265,631)	(631,1517)	(1517,1666)	(1666,17)	(17,72)	(72,58)	(58,186)	(186,169)	(169,623)	(623,819)	(819,516)	(516,2279)	(2279,1684)	(1684,2103)	(2103,2329)	(2329,616)	(616,791)	(791,362)	(362,126)	(126,1576)	(1576,1610)	(1610,1442)	(1442,2136)	(2136,1800)	(1800,2269)	(2269,1635)	(1635,1604)	(1604,1780)
(1,2736)	(2736,1610)	(1610,1442)	(1442,1561)	(1561,1766)	(1766,772)	(772,1564)	(1564,2299)	(2299,2852)	(2852,1570)	(1570,974)	(974,193)	(193,17)	(17,1071)	(1071,2348)	(2348,2213)	(2213,1087)	(1087,831)	(831,747)	(747,185)	(185,1279)	(1279,2952)	(2952,1158)	(1158,118)	(118,241)	(241,1438)	(1438,652)	(652,516)	(516,1071)
(1,491)	(491,1269)	(1269,491)	(491,1)	(1,0)	(0,2423)	(2423,1607)	(1607,2338)	(2338,1511)	(1511,1265)	(1265,1018)	(1018,27)	(27,2248)	(2248,2916)	(2916,2248)	(2248,1283)	(1283,1541)	(1541,2757)	(2757,2360)	(2360,392)	(392,1781)	(1781,908)	(908,1477)	(1477,2712)	(2712,1794)	(1794,240)	(240,245)	(245,1158)	(1158,392)
(1,265)	(265,264)	(264,1309)	(1309,876)	(876,2882)	(2882,1818)	(1818,1340)	(1340,831)	(831,60)	(60,138)	(138,354)	(354,944)	(944,360)	(360,1601)	(1601,58)	(58,693)	(693,1523)	(1523,2431)	(2431,2006)	(2006,53)	(53,201)	(201,1318)	(1318,131)	(131,1561)	(1561,1938)	(1938,2367)	(2367,251)	(251,2137)	(2137,356)
(1,95)	(95,1400)	(1400,289)	(289,2739)	(2739,1096)	(1096,2337)	(2337,1354)	(1354,750)	(750,2052)	(2052,2473)	(2473,2252)	(2252,2616)	(2616,392)	(392,1611)	(1611,2794)	(2794,506)	(506,2277)	(2277,959)	(959,1088)	(1088,440)	(440,2542)	(2542,262)	(262,799)	(799,633)	(633,848)	(848,0)	(0,2002)	(2002,8)	(8,133)
(1,378)	(378,394)	(394,58)	(58,2730)	(2730,1071)	(1071,481)	(481,2453)	(2453,2530)	(2530,509)	(509,1464)	(1464,17)	(17,14)	(14,2024)	(2024,156)	(156,453)	(453,406)	(406,81)	(81,597)	(597,2033)	(2033,2602)	(2602,960)	(960,1805)	(1805,97)	(97,2289)	(2289,251)	(251,2137)	(2137,1776)	(1776,2469)	(2469,1827)
